id,host_id,host_since,host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_value,latitude,longitude
35815036,269425139,2019-06-18,True,1,True,Noord-Oost,Tiny home,Entire home/apt,,1.0,105.0,3,100,95,2019-06-26,2022-06-02,4.96,4.83,52.4009,4.935
31553121,76806621,2016-06-09,False,1,True,Noord-West,Entire guesthouse,Entire home/apt,1.0,3.0,152.0,2,60,82,2019-02-04,2022-05-29,4.74,4.59,52.41,4.895
34745823,238083700,2019-01-21,False,3,True,Gaasperdam - Driemond,Entire rental unit,Entire home/apt,1.0,2.0,87.0,2,1125,39,2019-06-14,2022-04-17,4.87,4.9,52.3069,4.9881
34985473,30405589,2015-04-01,True,6,True,Noord-Oost,Entire home,Entire home/apt,2.0,4.0,135.0,6,1125,7,2019-07-27,2021-08-22,4.43,4.0,52.4009,4.935
44174770,114132046,2017-01-31,True,1,True,Watergraafsmeer,Private room in townhouse,Private room,1.0,1.0,59.0,30,1125,15,2020-07-22,2022-03-18,4.93,4.93,52.349,4.941
31742663,238083700,2019-01-21,False,3,True,Gaasperdam - Driemond,Entire rental unit,Entire home/apt,1.0,2.0,89.0,2,1125,20,2019-02-08,2022-05-15,4.8,4.45,52.3069,4.9881
48864190,85831122,2016-07-25,False,4,True,IJburg - Zeeburgereiland,Farm stay,Entire home/apt,2.0,12.0,350.0,1,1125,11,2021-05-05,2022-04-04,4.82,4.18,52.359,4.974
51340421,218079430,2018-09-30,False,2,True,Watergraafsmeer,Entire condo,Entire home/apt,2.0,2.0,275.0,1,1125,11,2021-08-08,2022-05-22,4.73,4.64,52.349,4.941
33241583,243869294,2019-02-18,True,4,True,Geuzenveld - Slotermeer,Private room in serviced apartment,Private room,3.0,6.0,742.0,1,1125,79,2019-05-27,2022-05-22,4.69,4.47,52.377,4.828
33241443,243869294,2019-02-18,True,4,True,Geuzenveld - Slotermeer,Private room in serviced apartment,Private room,1.0,1.0,230.0,1,1125,108,2019-04-08,2022-04-22,4.7,4.53,52.377,4.828
47709873,21167882,2014-09-10,False,34,True,Westerpark,Entire rental unit,Entire home/apt,1.0,1.0,210.0,3,120,8,2021-07-09,2022-04-18,4.75,4.63,52.386,4.874
35243521,4136347,2012-11-13,False,2,True,Buitenveldert - Zuidas,Private room in townhouse,Private room,1.0,2.0,153.0,1,3,9,2019-07-07,2020-02-12,4.89,4.78,52.333,4.873
286374,1173052,2011-09-17,False,1,True,Geuzenveld - Slotermeer,Entire condo,Entire home/apt,1.0,2.0,130.0,4,21,4,2019-07-08,2022-05-20,4.75,4.75,52.377,4.828
1182421,3136773,2012-08-02,False,1,True,Oud-Noord,Entire home,Entire home/apt,3.0,3.0,90.0,4,1125,2,2021-08-09,2022-02-27,4.5,5.0,52.39,4.917
1427610,7677579,2013-07-23,False,1,True,Geuzenveld - Slotermeer,Entire home,Entire home/apt,2.0,2.0,100.0,5,1125,4,2020-07-30,2021-10-23,5.0,5.0,52.377,4.828
1766570,9282300,2013-10-07,False,9,True,Centrum-Oost,Entire rental unit,Entire home/apt,2.0,2.0,332.0,7,180,2,2019-09-02,2019-11-16,4.5,4.5,52.367,4.915
2697739,12735907,2014-03-02,False,1,True,De Baarsjes - Oud-West,Entire rental unit,Entire home/apt,2.0,4.0,281.0,3,1125,15,2019-01-01,2022-04-19,4.93,4.6,52.365,4.87
2882337,922459,2011-08-04,False,1,True,Geuzenveld - Slotermeer,Entire townhouse,Entire home/apt,2.0,2.0,120.0,2,1125,3,2019-03-05,2020-02-22,5.0,5.0,52.377,4.828
3121979,11484134,2014-01-20,False,1,True,Slotervaart,Entire home,Entire home/apt,5.0,4.0,125.0,2,1125,1,2019-07-29,2019-07-29,5.0,5.0,52.357,4.833
4267516,14200991,2014-04-12,False,1,True,Centrum-Oost,Entire rental unit,Entire home/apt,1.0,1.0,169.0,2,30,3,2019-08-29,2019-12-14,5.0,4.67,52.367,4.915
5444330,24865141,2014-12-15,False,1,True,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,2.0,1.0,175.0,4,1125,3,2019-07-14,2020-01-03,4.67,4.67,52.351,4.896
5732731,5489923,2013-03-16,False,1,True,Westerpark,Entire rental unit,Entire home/apt,2.0,2.0,290.0,2,14,1,2020-02-05,2020-02-05,5.0,5.0,52.386,4.874
5748017,12102789,2014-02-10,False,1,True,De Pijp - Rivierenbuurt,Entire rental unit,Entire home/apt,1.0,1.0,120.0,3,20,2,2019-03-29,2019-04-06,5.0,4.5,52.351,4.896
5884996,4822645,2013-01-23,False,1,True,Zuid,Entire rental unit,Entire home/apt,1.0,1.0,109.0,2,1125,13,2019-05-03,2021-08-01,4.92,4.69,52.345,4.876
6021332,31237137,2015-04-14,False,1,True,Geuzenveld - Slotermeer,Private room in bed and breakfast,Private room,2.0,2.0,220.0,2,1125,4,2022-04-18,2022-05-29,4.75,4.5,52.377,4.828
6375033,22159410,2014-10-05,False,3,True,Oud-Noord,Private room in rental unit,Private room,1.0,1.0,107.0,3,30,1,2022-05-17,2022-05-17,5.0,4.0,52.39,4.917
